ip,port,org,city,country,source_file,sample_host
129.146.143.39,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.143.39
129.146.165.161,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.165.161:443
129.146.173.121,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.173.121:8443
129.146.174.117,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.174.117:443
129.146.185.214,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.185.214
129.146.188.242,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.188.242
129.146.188.78,444,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.188.78:444
129.146.191.182,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.191.182:443
129.146.196.8,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.196.8
129.146.199.96,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.199.96:443
129.146.2.46,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.2.46
129.146.20.44,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.20.44
129.146.213.162,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.213.162
129.146.228.56,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.228.56
129.146.24.105,5000,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.24.105:5000
129.146.24.202,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.24.202:8443
129.146.24.229,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.24.229
129.146.240.254,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.240.254
129.146.241.23,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.241.23
129.146.241.234,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.241.234
129.146.246.118,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.246.118:443
129.146.246.3,80,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.246.3
129.146.248.65,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.248.65
129.146.252.85,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.252.85:8443
129.146.252.95,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.252.95
129.146.254.25,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.254.25:443
129.146.26.34,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.26.34
129.146.3.163,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.3.163
129.146.34.42,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.34.42:8443
129.146.36.178,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.36.178
129.146.36.33,8443,ORACLE-BMC-31898,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.36.33:8443
129.146.44.48,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.44.48:8443
129.146.46.164,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.46.164:443
129.146.47.116,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.47.116
129.146.47.160,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.47.160:8443
129.146.47.193,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.47.193
129.146.48.121,2052,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.48.121:2052
129.146.49.224,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.49.224
129.146.51.158,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.51.158:8443
129.146.55.116,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.55.116
129.146.56.190,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.56.190:443
129.146.59.19,8443,ORACLE-BMC-31898,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.59.19:8443
129.146.64.119,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.64.119
129.146.67.81,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.67.81
129.146.76.113,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.76.113
129.146.84.188,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.84.188
129.146.84.32,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.84.32
129.146.85.151,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.85.151
129.146.86.75,20000,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.86.75:20000
129.146.9.224,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.9.224
129.146.91.19,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.91.19:8443
129.150.33.222,8443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,129.150.33.222:8443
129.150.35.29,587,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,129.150.35.29:587
129.150.36.185,65,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,129.150.36.185:65
129.150.41.236,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.41.236
129.150.41.40,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.41.40
129.150.41.94,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.41.94
129.150.43.139,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.43.139
129.150.46.113,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,129.150.46.113:443
129.150.46.130,9527,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.46.130:9527
129.150.48.17,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.48.17
129.150.50.84,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.50.84
129.150.52.71,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.52.71
129.150.55.155,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.55.155
129.150.61.161,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,129.150.61.161:443
129.150.62.95,443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.62.95
129.150.63.187,8443,Oracle Corporation,Singapore,SG,2026-03-15-oracle-sg-batch-01.csv,https://129.150.63.187:8443
129.151.21.236,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.151.21.236:443
129.153.115.165,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.153.115.165:443
129.153.122.95,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.122.95
129.153.124.177,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.124.177
129.153.126.127,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.126.127
129.153.172.64,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.172.64
129.153.200.99,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.200.99
129.153.203.157,20000,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.203.157:20000
129.153.204.9,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.204.9
129.153.206.105,8880,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.206.105:8880
129.153.208.95,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.153.208.95:443
129.153.220.206,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.153.220.206:443
129.153.221.229,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.221.229
129.153.42.27,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.42.27
129.153.70.168,4433,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.153.70.168:4433
129.153.74.179,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.153.74.179:443
129.153.77.133,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.77.133
129.153.77.227,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.77.227
129.153.96.228,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.153.96.228:443
129.153.97.149,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.153.97.149
129.158.198.180,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.158.198.180:443
129.158.198.241,8443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.158.198.241:8443
129.158.203.186,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.158.203.186
129.158.205.155,444,ORACLE-BMC-31898,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.158.205.155:444
129.158.241.2,8443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.158.241.2:8443
129.158.244.114,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.158.244.114:443
129.158.50.59,8443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.158.50.59:8443
129.158.54.181,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.158.54.181
129.159.119.161,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.159.119.161
129.159.34.196,443,Oracle Corporation,San Jose,US,2026-03-15-oracle-us-batch-01.csv,129.159.34.196:443
129.159.37.136,443,Oracle Corporation,San Jose,US,2026-03-15-oracle-us-batch-01.csv,https://129.159.37.136
129.159.42.237,8443,Oracle Corporation,San Jose,US,2026-03-15-oracle-us-batch-01.csv,https://129.159.42.237:8443
129.159.47.168,2053,Oracle Corporation,San Jose,US,2026-03-15-oracle-us-batch-01.csv,129.159.47.168:2053
129.159.84.71,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.159.84.71:443
129.213.120.186,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.213.120.186
129.213.126.251,587,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.213.126.251:587
129.213.126.80,4443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.213.126.80:4443
129.213.22.27,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.213.22.27
129.213.36.42,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.213.36.42
129.213.49.244,8080,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.213.49.244:8080
129.213.54.81,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.213.54.81
129.213.55.160,80,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.213.55.160
129.213.60.47,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.213.60.47
129.213.76.141,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.213.76.141:443
129.80.1.113,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.80.1.113:443
129.80.113.95,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.113.95
129.80.132.4,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.132.4
129.80.135.219,443,ORACLE-BMC-31898,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.135.219
129.80.146.124,8443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.146.124:8443
129.80.151.218,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.80.151.218:443
129.80.180.249,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.180.249
129.80.211.77,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.211.77
129.80.224.246,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.224.246
129.80.224.7,8443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.80.224.7:8443
129.80.228.226,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.228.226
129.80.239.6,8443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.239.6:8443
129.80.242.71,2083,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.80.242.71:2083
129.80.245.249,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.245.249
129.80.249.155,587,ORACLE-BMC-31898,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.80.249.155:587
129.80.255.149,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,129.80.255.149:443
129.80.37.170,444,ORACLE-BMC-31898,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.37.170:444
129.80.47.196,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.47.196
129.80.68.208,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://129.80.68.208
13.114.234.229,,"AMAZON-02 - Amazon.com, Inc.",Tokyo,Japan,2026-03-15-japan-mixed-batch-01.json,ec2-13-114-234-229.ap-northeast-1.compute.amazonaws.com
13.230.34.30,,"AMAZON-02 - Amazon.com, Inc.",Tokyo,Japan,2026-03-15-japan-mixed-batch-01.json,ec2-13-230-34-30.ap-northeast-1.compute.amazonaws.com
13.230.69.144,,"AMAZON-02 - Amazon.com, Inc.",Tokyo,Japan,2026-03-15-japan-mixed-batch-01.json,ec2-13-230-69-144.ap-northeast-1.compute.amazonaws.com
130.110.0.203,443,Oracle Corporation,Windsor,US,2026-03-15-oracle-us-batch-01.csv,https://130.110.0.203
130.110.12.69,443,Oracle Corporation,Windsor,US,2026-03-15-oracle-us-batch-01.csv,https://130.110.12.69
130.110.249.47,443,Oracle Corporation,Windsor,US,2026-03-15-oracle-us-batch-01.csv,https://130.110.249.47
130.110.250.30,2087,Oracle Corporation,Windsor,US,2026-03-15-oracle-us-batch-01.csv,https://130.110.250.30:2087
130.110.8.240,443,Oracle Corporation,Windsor,US,2026-03-15-oracle-us-batch-01.csv,https://130.110.8.240
131.186.33.68,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.33.68:443
131.186.34.205,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.34.205
131.186.34.48,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.34.48
131.186.35.251,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.35.251
131.186.37.129,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.37.129:443
131.186.38.156,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.38.156:8443
131.186.39.42,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.39.42
131.186.39.8,4444,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.39.8:4444
131.186.39.88,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.39.88
131.186.41.101,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.41.101
131.186.42.81,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.42.81:443
131.186.44.195,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.44.195:443
131.186.44.45,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.44.45:443
131.186.45.156,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.45.156
131.186.45.179,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.45.179
131.186.60.231,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.60.231:443
131.186.61.121,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.61.121:443
131.186.61.19,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.61.19:443
132.145.117.61,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.117.61
132.145.122.39,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.122.39
132.145.125.101,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.125.101
132.145.126.33,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.126.33
132.145.127.203,2053,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.127.203:2053
132.145.127.84,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.127.84
132.145.127.93,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.127.93
132.145.165.127,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://132.145.165.127
132.145.166.33,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,132.145.166.33:443
132.145.208.240,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://132.145.208.240
132.145.209.143,8443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://132.145.209.143:8443
132.145.217.215,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://132.145.217.215
132.226.0.87,10443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,132.226.0.87:10443
132.226.11.209,9443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.226.11.209:9443
132.226.110.161,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,132.226.110.161:443
132.226.110.19,443,ORACLE-BMC-31898,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,132.226.110.19:443
132.226.112.137,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.112.137
132.226.116.67,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.116.67
132.226.12.74,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.226.12.74
132.226.124.16,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.124.16:8443
132.226.125.73,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.125.73:8443
132.226.158.192,443,ORACLE-BMC-31898,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.158.192
132.226.26.196,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.26.196
132.226.48.243,443,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.48.243
132.226.5.22,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,132.226.5.22:443
132.226.52.150,444,ORACLE-BMC-31898,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.52.150:444
132.226.53.176,8880,Oracle Corporation,Ashburn,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.53.176:8880
132.226.7.85,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.226.7.85
132.226.8.222,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,132.226.8.222:443
132.226.88.54,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.88.54:8443
132.226.97.154,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://132.226.97.154:8443
133.167.66.12,,SAKURA-C SAKURA Internet Inc.,Osaka,Japan,2026-03-15-japan-mixed-batch-01.json,os3-363-14508.vs.sakura.ne.jp
134.122.194.186,,CTGSERVERLIMITED-AS-AP CTG Server Limited,Tokyo,Japan,2026-03-15-japan-mixed-batch-01.json,134.122.194.186
134.185.100.65,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.100.65:443
134.185.101.249,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.101.249
134.185.102.141,443,ORACLE-BMC-31898,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.102.141
134.185.104.199,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.104.199
134.185.106.71,443,ORACLE-BMC-31898,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.106.71:443
134.185.107.145,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.107.145
134.185.107.85,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.107.85:443
134.185.108.153,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.108.153:443
134.185.108.199,8443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.108.199:8443
134.185.110.100,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.110.100:443
134.185.110.149,443,ORACLE-BMC-31898,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.110.149
134.185.110.208,443,ORACLE-BMC-31898,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.110.208:443
134.185.110.40,8443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.110.40:8443
134.185.111.151,3000,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.111.151:3000
134.185.111.176,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.111.176:443
134.185.113.150,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.113.150:443
134.185.114.211,443,ORACLE-BMC-31898,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.114.211:443
134.185.114.96,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.114.96:443
134.185.116.212,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.116.212:443
134.185.118.75,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.118.75
134.185.82.209,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.82.209
134.185.82.94,443,ORACLE-BMC-31898,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.82.94
134.185.84.145,443,ORACLE-BMC-31898,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.84.145
134.185.84.201,8443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,134.185.84.201:8443
134.185.85.76,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.85.76
134.185.88.229,443,Oracle Corporation,Belmont,US,2026-03-15-oracle-us-batch-01.csv,https://134.185.88.229
