ip,port,org,city,country,source_file,sample_host,score
141.147.174.196,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.174.196,9
155.248.171.118,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.171.118,9
64.110.99.17,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.99.17,9
138.2.54.127,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.54.127:443,6
141.147.187.40,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.187.40:443,6
132.226.5.22,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,132.226.5.22:443,6
138.2.22.128,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.22.128,9
150.230.102.144,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.102.144:443,6
140.83.50.241,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.50.241,9
155.248.162.158,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.162.158,9
158.101.157.74,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.157.74,9
150.230.105.113,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.105.113,9
141.147.182.247,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.182.247,9
140.83.51.14,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.51.14,9
150.230.210.66,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.210.66:443,6
132.145.126.33,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.126.33,8
168.138.45.58,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.45.58,9
168.138.194.74,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,168.138.194.74:443,6
138.2.36.167,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.36.167,9
158.101.69.42,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,158.101.69.42:443,6
138.2.45.232,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.45.232:443,6
150.230.5.84,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.5.84,9
141.147.185.63,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.185.63:443,6
138.3.209.104,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.3.209.104,9
193.123.161.116,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,193.123.161.116:443,6
141.147.176.171,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.176.171,9
140.83.35.102,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.35.102,9
138.2.19.153,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.19.153,9
158.101.158.212,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,158.101.158.212,2
141.147.181.139,6443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.181.139:6443,5
152.70.83.85,4433,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.70.83.85:4433,7
140.238.51.18,10003,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.238.51.18:10003,5
140.83.53.52,54321,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,140.83.53.52:54321,2
150.230.56.208,4433,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.56.208:4433,7
150.230.196.57,2096,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.196.57:2096,4
150.230.204.141,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.204.141:8443,7
168.138.36.146,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,168.138.36.146:8443,4
152.69.199.70,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,152.69.199.70:8443,4
140.83.57.116,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,140.83.57.116:8443,4
152.69.203.243,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.203.243:8443,7
150.230.104.2,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.104.2:8443,7
168.138.196.206,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,168.138.196.206:8443,4
141.147.147.103,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.147.103:8443,7
64.110.118.49,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.118.49:8443,7
140.238.60.87,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,140.238.60.87:8443,4
158.101.154.245,47001,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,158.101.154.245:47001,2
138.2.45.20,80,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.45.20,2
131.186.39.8,4444,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.39.8:4444,2
141.147.150.189,222,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.150.189:222,5
158.101.159.228,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,158.101.159.228,2
158.101.159.228,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,158.101.159.228,2
158.101.139.31,7000,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.139.31:7000,5
132.226.0.87,10443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,132.226.0.87:10443,2
140.238.51.18,10000,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.238.51.18:10000,5
132.226.11.209,9443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.226.11.209:9443,5
168.138.192.236,9443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.192.236:9443,5
140.83.34.245,9443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.34.245:9443,5
141.147.159.215,9443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.159.215:9443,5
158.101.137.159,9443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.137.159:9443,5
158.101.132.240,10000,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.132.240:10000,5
168.138.42.237,9443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.42.237:9443,5
138.2.22.73,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.22.73:443,6
193.123.167.30,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,193.123.167.30,2
141.147.150.189,8880,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.150.189:8880,5
138.2.8.6,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.8.6,9
138.2.39.24,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.39.24:443,6
141.147.180.46,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.180.46,9
138.3.212.247,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.3.212.247:443,6
141.147.184.239,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.184.239,9
150.230.7.185,8880,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.7.185:8880,5
131.186.37.129,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.37.129:443,6
138.3.214.171,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.3.214.171:443,6
152.70.100.247,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.70.100.247,9
140.238.35.144,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,140.238.35.144:443,6
140.238.51.35,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,140.238.51.35:443,6
158.101.129.51,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.129.51,9
138.2.31.37,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.31.37:443,6
138.2.30.222,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.30.222:443,6
158.101.73.200,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,158.101.73.200:443,6
141.147.166.41,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.166.41:443,6
131.186.61.121,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.61.121:443,6
138.2.59.112,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.59.112:443,6
193.123.166.159,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,193.123.166.159:443,6
141.147.159.250,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.159.250:443,6
138.3.222.201,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.3.222.201,9
155.248.163.243,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.163.243,9
152.69.199.104,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.199.104,9
158.101.158.41,10443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.158.41:10443,4
64.110.102.155,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.102.155,9
155.248.168.27,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.168.27,9
152.70.102.219,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.70.102.219,9
168.138.43.113,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,168.138.43.113:443,6
158.101.81.191,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.81.191,9
158.101.145.82,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,158.101.145.82:443,6
152.70.98.201,10443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.70.98.201:10443,5
140.238.49.222,10443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,140.238.49.222:10443,2
158.101.132.240,10002,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.132.240:10002,5
168.138.54.186,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.54.186,9
168.138.41.28,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.41.28,9
140.238.51.18,10002,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.238.51.18:10002,5
155.248.168.27,8080,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,155.248.168.27:8080,2
140.238.51.18,10001,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.238.51.18:10001,5
138.2.59.101,8080,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.59.101:8080,5
150.230.5.84,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://francisnglogo.duckdns.org,9
158.101.132.240,10001,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.132.240:10001,5
141.147.164.156,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.164.156,2
155.248.169.30,8084,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.169.30:8084,5
138.2.49.197,587,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.49.197:587,2
168.138.201.101,8008,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.201.101:8008,5
158.101.145.82,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://since1989.eu.org,8
140.238.38.81,587,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,140.238.38.81:587,2
168.138.42.138,444,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.42.138:444,5
138.3.217.167,587,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.3.217.167:587,2
140.83.34.214,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.34.214:8443,7
168.138.47.238,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,168.138.47.238:8443,4
193.123.166.79,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://193.123.166.79:8443,7
138.3.211.22,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.3.211.22:8443,7
132.145.127.203,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.127.203:8443,7
168.138.210.159,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.210.159:8443,7
155.248.168.27,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.168.27:8443,7
140.83.83.102,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.83.102:8443,7
155.248.172.65,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.172.65:8443,7
168.138.192.184,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.192.184:8443,7
138.2.60.150,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.60.150:8443,7
131.186.38.156,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,131.186.38.156:8443,4
158.101.68.196,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.68.196:8443,7
64.110.101.31,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,64.110.101.31:8443,4
138.2.16.61,8443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.16.61:8443,4
64.110.105.144,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.105.144:8443,7
138.2.55.219,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.55.219:8443,7
152.69.204.26,8443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.204.26:8443,7
138.3.216.18,587,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.3.216.18:587,2
193.123.163.87,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,193.123.163.87:443,6
193.123.164.32,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,193.123.164.32:443,6
138.2.57.10,444,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.57.10:444,5
141.147.177.180,1024,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.177.180:1024,5
155.248.184.195,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,155.248.184.195,2
138.2.18.82,8880,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.18.82:8880,2
150.230.57.42,80,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.57.42:80,5
155.248.168.27,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,155.248.168.27,2
64.110.105.217,8800,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,64.110.105.217:8800,2
150.230.194.58,9000,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.194.58:9000,2
141.147.175.219,7001,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.175.219:7001,5
152.70.99.114,8880,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.70.99.114:8880,5
138.2.32.6,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://z.fortis931.icu,8
131.186.45.179,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.45.179:80,5
138.2.32.6,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.32.6,8
152.69.202.88,8880,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.202.88:8880,5
131.186.35.251,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.35.251,9
152.70.100.247,80,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,152.70.100.247,2
193.123.161.12,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,193.123.161.12:443,6
155.248.185.15,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.185.15,9
64.110.110.53,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.110.53,9
150.230.107.220,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.107.220,8
150.230.213.133,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.213.133:443,6
168.138.37.152,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.37.152,9
138.2.61.7,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.61.7,9
152.70.86.162,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.70.86.162,9
155.248.170.8,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,155.248.170.8:443,6
150.230.62.27,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.62.27:443,6
132.145.127.93,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.127.93,9
152.70.82.112,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.70.82.112,9
141.147.171.196,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.171.196,9
140.83.56.85,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.56.85,9
141.147.157.87,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.157.87,9
64.110.100.195,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.100.195,9
138.2.58.197,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.58.197,9
138.2.26.66,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.26.66,9
138.2.35.25,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.35.25,9
141.147.164.156,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.164.156,8
152.69.205.46,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.205.46,9
158.101.159.228,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.159.228,9
64.110.104.30,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.104.30,9
155.248.160.53,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://155.248.160.53,9
141.147.171.133,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.171.133:443,6
140.83.39.58,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.39.58,9
155.248.168.165,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,155.248.168.165:443,6
141.147.174.243,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.174.243,9
158.101.153.210,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.153.210,9
131.186.41.101,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.41.101,8
140.238.58.129,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.238.58.129,9
150.230.56.202,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.56.202,9
138.2.42.95,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.42.95,9
150.230.56.33,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.56.33,9
152.69.193.198,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.193.198,9
152.69.196.148,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.196.148,9
150.230.58.23,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://150.230.58.23,9
131.186.39.88,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.39.88,9
140.83.87.253,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.87.253,9
